Subject,Classmark
Accountancy,HF
African History,E and F
American Literature,PS
Archaeology,CC
Art,N
Astrophysics,QB
Biochemistry,QF and RB
Biology,QH
Biomedical Science,QH and RB
Botany,QK and S
British History,DA
Business,HD to HF
Chemistry,QC
Chinese,PL
Computing,QA and TK
Counselling and Psychotherapy,RC
Criminology,HV
Ecology,QH
Economics,HA to HJ
Education,L
English Language,PE
English Literature,PR
Environmental Studies,GE to GF
Film Studies,PN
Finance,HG to HJ
Forensic Science,HV
French,PC
Geography,G to GF
Geology and Geosciences,QE
German,PF
History,D
Human Biology,QM to QR
Human Resource Management,HD
International Law,JX
International Relations,JZ
Italian,PC
Japanese,PL
Law,JX
Management and Marketing,HD to HF
Mathematics,QA
Media Studies,PN
Medicinal Chemistry,QD
Medicine,R
Mental Health,RA to RC
Music,ML
Nursing,RT
Pharmacology,QV
Pharmacy,RS
Philosophy,B to BJ
Physics,QC
Physiology,QF
Physiotherapy,RM
Politics,JA to JK
Psychology,BF
Radiography,RC
Religion,BL to BX
Russian,PG
Social Work,HV
Sociology,HM to HT
Spanish,PC
Veterinary Medicine,SF
